date,GOOG,AAPL,FB,BABA,AMZN,GE,AMD,WMT,BAC,GM,T,UAA,SHLD,XOM,RRC,BBY,MA,PFE,JPM,SBUX,portfolio total
2014-12-04,0.0,0.0,0.0,0.0,185.03006851326,0.0,0.0191797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4315499583,19.61173791388,0.0,4.379384211640001,0.0,212.47192029708
2014-12-05,0.0,0.0,0.0,0.0,182.5196495191,0.0,0.0189658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3887507848199996,19.68022413952,0.0,4.4735646472,0.0,210.08115489063997
2014-12-08,0.0,0.0,0.0,0.0,179.0225735573,0.0,0.0183954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4800561268499997,19.45046003082,0.0,4.4714246452,0.0,206.44290976017
2014-12-09,0.0,0.0,0.0,0.0,182.44375,0.0,0.0184667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4867487322599997,19.40627357046,0.0,4.4557281788,0.0,209.81096718152
2014-12-10,0.0,0.0,0.0,0.0,178.55550646472,0.0,0.0176824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4418131298399994,19.072673342519998,0.0,4.32944015112,0.0,205.4171154882
2014-12-11,0.0,0.0,0.0,0.0,179.4429064427,0.0,0.0177537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5020453253699997,19.373133611860002,0.0,4.362261155200001,0.0,206.69810023513
2014-12-12,0.0,0.0,0.0,0.0,179.41956648674,0.0,0.0179676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.52307794509,18.58663179828,0.0,4.28377741992,0.0,205.83102125002998
2014-12-15,0.0,0.0,0.0,0.0,178.68979148673998,0.0,0.0176111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5288149115699996,18.69267649256,0.0,4.220990462880001,0.0,205.14988445375
2014-12-16,0.0,0.0,0.0,0.0,172.26192803236,0.0,0.017825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4198235136,18.25744985372,0.0,4.16890608852,0.0,198.1259324882
2014-12-17,0.0,0.0,0.0,0.0,174.4921245191,0.0,0.0181815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5823548149799995,18.71919140602,0.0,4.2645137378,0.0,201.0763659779
